a-34.865542,-58.408072{Microbasural: Arroyo del Rey I}<yellow-dot>
-34.711325,-58.556958{Microbasural: Barrio Roggio I}<yellow-dot>
-34.717639,-58.54675{Microbasural: Barrio Roggio II}<yellow-dot>
-34.716028,-58.550139{Microbasural: Barrio Roggio III}<yellow-dot>
-34.675833,-58.524264{Punto de arrojo: Barrio San Martin}<tan-dot>
-34.708675,-58.473508{Microbasural: Barrio Sarmiento}<yellow-dot>
-34.739022,-58.564875{Microbasural: Bedoya}<yellow-dot>
-34.752375,-58.587889{Punto de arrojo: Beethoven}<tan-dot>
-34.689025,-58.598272{Microbasural: Berna}<yellow-dot>
-34.752264,-58.612958{Microbasural: Besares}<yellow-dot>
-34.832864,-58.625919{Punto de arrojo: Blas Parera}<tan-dot>
-34.713797,-58.637622{Microbasural: Brabard}<yellow-dot>
-34.797756,-58.6524{Punto de arrojo: Cabot}<tan-dot>
-34.691086,-58.512272{Microbasural: Callao}<yellow-dot>
-34.791961,-58.657194{Punto de arrojo: Calle 101}<tan-dot>
-34.795339,-58.657222{Punto de arrojo: Calle 103}<tan-dot>
-34.794597,-58.656308{Punto de arrojo: Calle 11}<tan-dot>
-34.795156,-58.655575{Punto de arrojo: Calle 9}<tan-dot>
-34.699992,-58.623067{Punto de arrojo: Carlos Casares}<tan-dot>
-34.717722,-58.515556{Basural: Cascotera El Vesubio}<orange-dot>
-34.739889,-58.635528{Basural: Cascotera Russo}<orange-dot>
-34.708533,-58.554486{Microbasural: Cementerio}<yellow-dot>
-34.708244,-58.551483{Punto de arrojo: Centenera}<tan-dot>
-34.749742,-58.631217{Microbasural: Cespedes}<yellow-dot>
-34.781772,-58.614328{Punto de arrojo: Chopin}<tan-dot>
-34.819614,-58.625369{Punto de arrojo: Colastine}<tan-dot>
-34.675806,-58.501028{Microbasural: Colectora General Paz}<yellow-dot>
-34.743517,-58.608686{Punto de arrojo: Colectora ruta 3}<tan-dot>
-34.693792,-58.582303{Microbasural: Colonia}<yellow-dot>
-34.753133,-58.589583{Punto de arrojo: Comodoro Py}<tan-dot>
-34.820808,-58.623886{Punto de arrojo: Concordia}<tan-dot>
-34.790914,-58.611481{Basural: Conde}<orange-dot>
-34.715344,-58.635547{Microbasural: Coronel Aguirre}<yellow-dot>
-34.730005,-58.558239{Punto de arrojo: Cristiania}<tan-dot>
-34.708669,-58.55315{Punto de arrojo: Crovara}<tan-dot>
-34.794597,-58.660303{Punto de arrojo: Curumalal}<tan-dot>
-34.686475,-58.514311{Microbasural: Cuzco}<yellow-dot>
-34.706778,-58.566864{Microbasural: De los Incas}<yellow-dot>
-34.731778,-58.651083{Basural: Doblas}<orange-dot>
-34.751867,-58.617114{Punto de arrojo: Dumond}<tan-dot>
-34.713003,-58.553333{Punto de arrojo: El Mermelero}<tan-dot>
-34.719117,-58.540808{Punto de arrojo: El Pindo}<tan-dot>
-34.697567,-58.500361{Punto de arrojo: España I}<tan-dot>
-34.688964,-58.491{Punto de arrojo: España II}<tan-dot>
-34.779811,-58.64765{Punto de arrojo: Gallardo}<tan-dot>
-34.708556,-58.554472{Punto de arrojo: Gallo}<tan-dot>
